"oid","fk_books","fk_langs"
84740450,218,"la"
84740458,226,"la"
84740459,227,"la"
84740461,229,"la"
84740463,231,"la"
84740469,237,"la"
84740551,320,"es"
84784037,417,"de"
84740839,607,"de"
84740838,607,"la"
84741027,796,"fr"
84741028,797,"fr"
84741029,798,"fr"
84741030,799,"fr"
84741031,800,"fr"
84741032,801,"fr"
84741033,802,"fr"
84741034,803,"fr"
84741055,825,"la"
84741056,826,"la"
84741057,827,"la"
84741058,828,"la"
84798802,997,"it"
84798800,998,"it"
84798801,999,"it"
84798799,1000,"it"
84741239,1009,"it"
84741240,1010,"it"
84741241,1011,"it"
84741242,1012,"it"
84741486,1256,"fr"
84741569,1339,"fr"
84741849,1619,"es"
84754161,1910,"fr"
84783200,1981,"fr"
84742211,1982,"ja"
84742229,2000,"es"
84742283,2054,"de"
84742319,2090,"zh"
84742329,2100,"sv"
84742372,2143,"da"
84742373,2144,"da"
84742375,2146,"de"
84742403,2174,"de"
84742416,2187,"de"
84742417,2188,"de"
84742418,2189,"de"
84742419,2190,"de"
84742432,2228,"de"
84742433,2229,"de"
84742434,2230,"de"
84742516,2312,"de"
84742517,2313,"de"
84742518,2314,"de"
84742523,2319,"de"
84742524,2320,"de"
84742525,2321,"de"
84753378,2322,"de"
84742539,2335,"de"
84742540,2336,"de"
84742541,2337,"de"
84742542,2338,"de"
84742543,2339,"de"
84742544,2340,"de"
84742545,2341,"de"
84742546,2342,"de"
84742571,2367,"es"
84742583,2380,"de"
84742605,2402,"de"
84742606,2403,"de"
84742607,2404,"de"
84742608,2405,"de"
84742609,2406,"de"
84742610,2407,"de"
84742611,2408,"de"
84742612,2409,"de"
84742613,2410,"de"
84742614,2411,"de"
84742622,2419,"fr"
84742623,2420,"de"
84742702,2499,"de"
84742795,2592,"ja"
84742849,2650,"fr"
84742881,2682,"fr"
84742933,2734,"cy"
84742977,2779,"de"
84742988,2790,"bg"
84752856,2820,"fr"
84743035,2837,"pt"
84743037,2838,"nl"
84743039,2839,"nl"
84743041,2840,"nl"
84743086,2887,"de"
84743088,2889,"de"
84743089,2890,"bg"
84743093,2894,"bg"
84743146,2947,"de"
84743197,2998,"fr"
84743198,2999,"fr"
84743199,3000,"fr"
84743258,3060,"de"
84743259,3061,"de"
84743260,3062,"de"
84743261,3063,"de"
84743262,3064,"de"
84743263,3065,"de"
84778585,3100,"zh"
84743407,3208,"de"
84743409,3209,"de"
84743411,3210,"de"
84743413,3211,"de"
84743415,3212,"de"
84743417,3213,"de"
84743419,3214,"de"
84743421,3215,"de"
84743423,3216,"de"
84743425,3217,"de"
84743427,3218,"de"
84743429,3219,"de"
84743431,3220,"de"
84743433,3221,"de"
84743435,3222,"de"
84743437,3223,"de"
84743439,3224,"de"
84743441,3225,"de"
84743513,3297,"de"
84743515,3298,"de"
84743517,3299,"de"
84743551,3333,"pt"
84743651,3433,"bg"
84743673,3455,"nl"
84743674,3456,"fr"
84743716,3498,"de"
84743718,3500,"cy"
84743862,3644,"fr"
84743863,3645,"fr"
84743893,3675,"de"
84743898,3680,"cy"
84743965,3747,"it"
84744231,4013,"de"
84744297,4079,"de"
84744298,4080,"de"
84744301,4083,"de"
84744313,4094,"zh"
84744319,4100,"el"
84744535,4317,"la"
84744589,4371,"de"
84744590,4372,"de"
84744591,4373,"de"
84744592,4374,"de"
84744593,4375,"de"
84744719,4501,"de"
84744720,4502,"de"
84744721,4503,"de"
84744722,4504,"de"
84744723,4505,"de"
84744766,4548,"fr"
84744777,4559,"fr"
84744779,4561,"fr"
84744780,4562,"fr"
84744781,4563,"fr"
84744782,4564,"fr"
84744783,4565,"fr"
84744784,4566,"fr"
84744785,4567,"fr"
84744786,4568,"fr"
84744787,4569,"fr"
84744788,4570,"fr"
84744790,4572,"zh"
84744791,4573,"zh"
84744792,4574,"zh"
84744793,4575,"zh"
84744794,4576,"zh"
84744795,4577,"zh"
84744796,4578,"zh"
84744797,4579,"zh"
84744798,4580,"zh"
84744819,4601,"de"
84744865,4647,"fr"
84744866,4648,"fr"
84744867,4649,"fr"
84744868,4650,"fr"
84744869,4651,"fr"
84744906,4688,"fr"
84744926,4708,"fr"
84744935,4717,"fr"
84744936,4718,"fr"
84744958,4740,"fr"
84744959,4741,"fr"
84744989,4771,"fr"
84744990,4772,"fr"
84744996,4778,"he"
84753377,4785,"fr"
84745009,4791,"fr"
84745127,4909,"bg"
84745151,4933,"fr"
84745153,4935,"fr"
84745154,4936,"fr"
84753008,4968,"fr"
84745289,5072,"de"
84745298,5081,"fr"
84745299,5082,"fr"
84745312,5095,"fr"
84745313,5096,"fr"
84745314,5097,"fr"
84754091,5104,"fr"
84757800,5105,"fr"
84745342,5126,"fr"
84745346,5130,"fr"
84745354,5138,"fr"
84745355,5139,"he"
84745363,5147,"fr"
84745370,5154,"fr"
84745374,5158,"fr"
84745394,5178,"fr"
84755753,5201,"es"
84745466,5250,"fr"
84745474,5258,"fr"
84745532,5316,"ru"
84745534,5318,"fr"
84745538,5322,"de"
84745539,5323,"de"
84745541,5325,"de"
84745542,5326,"de"
84745639,5423,"fr"
84745823,5607,"de"
84782220,5640,"hu"
84745858,5644,"fr"
84745867,5653,"de"
84745924,5711,"fr"
84752823,5739,"ko"
84774232,5740,"de"
84745994,5781,"fr"
84746014,5801,"de"
84746053,5877,"es"
84746054,5878,"es"
84746055,5879,"es"
84746056,5880,"es"
84746057,5881,"es"
84746065,5892,"fr"
84749917,5985,"es"
84746154,6000,"pl"
84746158,6004,"de"
84746233,6079,"de"
84746253,6099,"fr"
84746264,6110,"de"
84746461,6309,"fr"
84746470,6318,"fr"
84746471,6319,"fr"
84746493,6341,"de"
84746494,6342,"de"
84746495,6343,"de"
84746525,6377,"fr"
84753212,6383,"de"
84746566,6421,"de"
84746615,6470,"fr"
84746629,6484,"fr"
84746641,6496,"de"
84746642,6497,"fr"
84746643,6498,"de"
84746644,6499,"de"
84746646,6501,"fr"
84746648,6503,"de"
84746649,6504,"de"
84746650,6505,"de"
84746663,6518,"de"
84746670,6525,"de"
84746673,6528,"es"
84746694,6549,"de"
84746702,6558,"fr"
84746781,6637,"de"
84746782,6638,"de"
84746783,6639,"de"
84746784,6640,"de"
84746785,6641,"de"
84746786,6642,"de"
84746787,6643,"de"
84746788,6644,"de"
84746789,6645,"de"
84746790,6646,"de"
84746791,6647,"de"
84746792,6648,"de"
84746793,6649,"de"
84746795,6651,"de"
84746798,6654,"de"
84755465,6691,"fr"
84746840,6696,"de"
84746842,6698,"de"
84746856,6712,"nl"
84746868,6723,"de"
84746869,6724,"de"
84746870,6725,"de"
84746871,6726,"de"
84746873,6728,"de"
84746874,6729,"de"
